"Name","num_epochs","learning_rate","embedding_dim","hidden_size","fc_size","alpha_pos","alpha_neg","gamma_pos","gamma_neg","train_loss","train_acc","test_loss","test_acc"
"TreeLSTM_h128_fc32","5","0.0009","32","128","32","0.25","0.7","3","2.5","0.009835334890152493","0.943","0.011229605548298703","0.93"
"TreeLSTM_h128_fc32","5","0.0007","32","128","32","0.25","0.7","3","2.5","0.010162639856663724","0.941","0.012573515763506292","0.93"
"TreeLSTM_h128_fc32","5","0.0004","32","128","32","0.25","0.7","3","2.5","0.011896945802228793","0.933","0.014661814981641678","0.925"
"TreeLSTM_h128_fc32","5","0.0006","32","128","32","0.25","0.7","3","2.5","0.010608012459078242","0.937","0.012559815148751322","0.925"
"TreeLSTM_h128_fc32","5","0.0005","32","128","32","0.25","0.7","3","2.5","0.01306222857803934","0.93","0.015351118322891684","0.92"
"TreeLSTM_h128_fc32","5","0.0008","32","128","32","0.25","0.7","3","2.5","0.011169448511541957","0.934","0.012204341276978644","0.92"
"TreeLSTM_h128_fc32","5","0.0003","32","128","32","0.25","0.7","3","2.5","0.017524593169727022","0.908","0.016790236310603526","0.915"
"TreeLSTM_h128_fc32","5","0.0002","32","128","32","0.25","0.7","3","2.5","0.022404666960475935","0.74","0.020852240590521924","0.785"
"TreeLSTM_h128_fc32","5","0.0001","32","128","32","0.25","0.7","3","2.5","0.0285531131935025","0.74","0.027474497086726703","0.74"
