low_threshold,high_threshold,accuracy
0.1,0.5,0.9907692307692307
0.1,0.6,0.9903846153846154
0.1,0.7,0.9919230769230769
0.1,0.8,0.9938461538461538
0.1,0.9,0.9869230769230769
0.1,1.0,0.7384615384615385
0.2,0.5,0.9907692307692307
0.2,0.6,0.9903846153846154
0.2,0.7,0.9919230769230769
0.2,0.8,0.9938461538461538
0.2,0.9,0.9869230769230769
0.2,1.0,0.7384615384615385
0.3,0.5,0.9907692307692307
0.3,0.6,0.9903846153846154
0.3,0.7,0.9919230769230769
0.3,0.8,0.9938461538461538
0.3,0.9,0.9869230769230769
0.3,1.0,0.7384615384615385
0.4,0.5,0.9907692307692307
0.4,0.6,0.9903846153846154
0.4,0.7,0.9919230769230769
0.4,0.8,0.9938461538461538
0.4,0.9,0.9869230769230769
0.4,1.0,0.7384615384615385
0.5,0.6,0.9903846153846154
0.5,0.7,0.9919230769230769
0.5,0.8,0.9938461538461538
0.5,0.9,0.9869230769230769
0.5,1.0,0.7384615384615385
0.6,0.7,0.9919230769230769
0.6,0.8,0.9938461538461538
0.6,0.9,0.9869230769230769
0.6,1.0,0.7384615384615385
