"Name","num_epochs","learning_rate","embedding_dim","hidden_size","fc_size","alpha_pos","alpha_neg","gamma_pos","gamma_neg","train_loss","train_acc","test_loss","test_acc"
"TreeLSTM_h128_fc32","5","0.0005","32","128","32","0.3","0.7","3","1.5","0.022615078799722212","0.921","0.0248352366571243","0.92"
"TreeLSTM_h128_fc64","5","0.0005","32","128","64","0.3","0.7","3","1.5","0.023098203612284526","0.929","0.025562870459487803","0.92"
"TreeLSTM_h128_fc16","5","0.0005","32","128","16","0.3","0.7","3","1.5","0.023887857654324128","0.928","0.026620815902088694","0.92"
"TreeLSTM_h64_fc64","5","0.0005","32","64","64","0.3","0.7","3","1.5","0.025825585785602765","0.915","0.024889172771229193","0.915"
"TreeLSTM_h32_fc64","5","0.0005","32","32","64","0.3","0.7","3","1.5","0.037759151206248336","0.789","0.033303555101156235","0.895"
"TreeLSTM_h64_fc16","5","0.0005","32","64","16","0.3","0.7","3","1.5","0.03769735554381022","0.744","0.03360400413377927","0.84"
"TreeLSTM_h64_fc32","5","0.0005","32","64","32","0.3","0.7","3","1.5","0.0367403474769422","0.74","0.03270586587202091","0.76"
"TreeLSTM_h32_fc16","5","0.0005","32","32","16","0.3","0.7","3","1.5","0.04818318731018475","0.74","0.044698198254291825","0.74"
"TreeLSTM_h32_fc32","5","0.0005","32","32","32","0.3","0.7","3","1.5","0.04804377109994964","0.74","0.045319608770884","0.74"
